customer_id,first_name,last_name,state,credit_score_band,is_returning
app_1,Christopher,Evans,WA,Good,0
app_2,Edward,Lindsey,VIC,Fair,0
app_3,Sarah,Davis,SA,Good,0
app_4,Felicia,Davis,QLD,Fair,0
app_5,Frank,Lawrence,QLD,Good,0
app_6,Sharon,Owens,ACT,Good,0
app_7,Alicia,Meyer,TAS,Excellent,0
app_8,Glenn,Fisher,VIC,Good,0
app_9,Rachel,Wallace,NSW,Fair,0
app_10,Jose,Johnson,WA,Fair,0
app_11,Mikayla,Nelson,SA,Good,0
app_12,Mark,Mcdaniel,ACT,Good,0
app_13,Gerald,Owens,WA,Fair,1
app_14,Elizabeth,Snyder,SA,Good,0
app_15,Christine,Morgan,QLD,Fair,0
app_16,Ian,Ray,ACT,Fair,0
app_17,Steven,Gutierrez,SA,Excellent,0
app_18,Julia,Hoffman,NT,Excellent,0
app_19,Ryan,Dorsey,NT,Poor,0
app_20,Sara,Robinson,NT,Good,0
app_21,Nicholas,Morgan,WA,Excellent,0
app_22,Robert,Jenkins,NSW,Good,1
app_23,Joel,Jimenez,VIC,Excellent,0
app_24,Catherine,Jones,NSW,Excellent,0
app_25,Joseph,Nelson,SA,Good,0
app_26,Renee,Price,QLD,Excellent,1
app_27,Jennifer,Li,TAS,Good,0
app_28,Marissa,Acosta,QLD,Excellent,0
app_29,Michael,White,TAS,Excellent,1
app_30,Christina,Roberts,SA,Good,0
app_31,Erin,Jackson,VIC,Excellent,0
app_32,Joshua,Smith,VIC,Poor,0
app_33,Juan,Jones,WA,Excellent,0
app_34,Ashley,Hall,TAS,Fair,0
app_35,Sharon,Smith,TAS,Poor,0
app_36,Susan,Dennis,SA,Good,0
app_37,Brittney,Escobar,ACT,Excellent,0
app_38,Tony,Contreras,TAS,Fair,0
app_39,Lisa,Rivers,ACT,Poor,0
app_40,Ronald,Murray,NT,Excellent,0
app_41,Dustin,Johnson,NT,Good,0
app_42,Jessica,Garcia,SA,Fair,0
app_43,Daniel,Esparza,SA,Fair,0
app_44,Brandy,Morris,VIC,Excellent,0
app_45,Joseph,Marks,NT,Good,0
app_46,David,Perez,TAS,Good,0
app_47,Alyssa,Vargas,NSW,Fair,1
app_48,Sabrina,Hester,NSW,Good,0
app_49,Jason,Brown,ACT,Excellent,0
app_50,James,Murphy,NSW,Fair,0
app_51,David,Smith,NSW,Excellent,0
app_52,Gregory,Hudson,WA,Poor,0
app_53,Veronica,Gillespie,TAS,Good,0
app_54,Jason,Shepherd,SA,Excellent,0
app_55,Nicole,Wilson,QLD,Good,0
